experiment_id,training_records,training_tokens,PER_training_spans,ORG_training_spans,LOC_training_spans,feature_extraction_seconds,training_seconds,peak_rss_bytes_sampled,model_size_bytes,strict_entity_precision,strict_entity_recall,strict_entity_micro_f1,strict_entity_macro_f1,token_accuracy,median_sentence_latency_ms,p95_sentence_latency_ms,PER_f1,ORG_f1,LOC_f1,test_clean_strict_entity_precision,test_clean_strict_entity_recall,test_clean_strict_entity_micro_f1,test_clean_strict_entity_macro_f1,official_test_strict_entity_precision,official_test_strict_entity_recall,official_test_strict_entity_micro_f1,official_test_strict_entity_macro_f1
crf_001k_seed42_8a804a38f625,1000,22675,806,726,732,0.4059332243341487,3.825170416996116,116752384,1536372,0.6221656418139893,0.4450056695186063,0.5188805865502114,0.5158043844971796,0.8796285748804777,0.5133125087013468,1.232417009305209,0.5328392246294186,0.41329461116489186,0.6012793176972282,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated
crf_010k_seed42_f8c68b4a5279,10000,225176,7689,7010,7309,3.781556840869598,39.68323516700184,449953792,6373060,0.6869664875118559,0.5972923753564925,0.6389986582608856,0.6357486882212385,0.9075165260014844,0.5211664974922314,1.258479751413688,0.6653409388246376,0.534637037037037,0.707268088802041,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated
crf_050k_seed42_3138567c5c8e,50000,1120452,39181,34961,37276,18.867626739433035,199.7572451249871,1597865984,15369580,0.7266969004160264,0.6662199773219256,0.6951455614513122,0.6908534298747618,0.9209617010994322,0.5193539982428774,1.261510005861055,0.7286892758936755,0.5880345902700159,0.7558364234605943,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated,not evaluated
crf_100k_seed42_24dd05e84a26,100000,2234979,78191,69933,74547,36.262690898467554,368.1391292079934,2853601280,22707636,0.7401476014760148,0.6892072982166787,0.7137697275946124,0.7093174520741674,0.925428467871382,0.5079164984636009,1.2203957376186736,0.7516310119860417,0.6085121350685895,0.7678092091678712,0.7628032345013477,0.7281303602058319,0.7450636243966652,0.7328900355413054,0.7877125617114646,0.7471383975026015,0.7668891855807745,0.759028464447343
