seed,experiment_id,best_epoch,val_micro_f1,val_macro_f1,per_f1,org_f1,loc_f1,token_accuracy,delta_micro_f1_vs_crf,train_seconds,peak_rss_gb,model_size_mib,median_latency_ms,p95_latency_ms
7,bilstm_crf_050k_seed7_c99f52e0e1fb,14,0.7136259072346952,0.7088332267615867,0.7532302270947534,0.6049982233803151,0.7682712298096913,0.927216555342688,-0.00014382035991722386,2962.341117207994,0.8709,24.59935474395752,3.421925781367463,4.299653656289593
21,bilstm_crf_050k_seed21_2e1de81e3085,14,0.7170627096952716,0.7109385545886248,0.7520688830423343,0.6060749041580655,0.7746718765654744,0.9279103885120558,0.003292982100659203,3014.954910583998,1.028,24.59935474395752,3.5270716252853163,4.522187499787833
42,bilstm_crf_050k_seed42_1c3a3bd180d5,14,0.719229750022083,0.7150360167983738,0.758738449176376,0.6122991561669172,0.7740704450518282,0.9284143668340841,0.005460022427470568,2461.724421209001,0.989,24.59935474395752,4.66028906248539,5.6461132812728465
