model_name,sample_size,seed,val_precision,val_recall,val_micro_f1,val_macro_f1,per_f1,org_f1,loc_f1,token_accuracy,delta_micro_f1_vs_crf,best_epoch,train_seconds,peak_rss_gb,median_latency_ms,p95_latency_ms,vocab_size,val_unk_rate,model_size_mib
Frozen Classical CRF (100k),100000,42,0.7490059530278788,0.6817215383921869,0.7137697275946124,0.7093174520741674,0.7516310119860417,0.6085121350685895,0.7678092091678712,0.925428467871382,0.0,N/A (L-BFGS),38.3,2.658,0.508,1.22,N/A (features),0.0,0.77
BiLSTM-CRF 50k (Seed 7),50000,7,0.7417883888188626,0.687523622994193,0.7136259072346952,0.7088332267615867,0.7532302270947534,0.6049982233803151,0.7682712298096913,0.927216555342688,-0.00014382035991722386,14,2962.341117207994,0.8709,3.421925781367463,4.299653656289593,62099,0.03365953848012565,24.59935474395752
BiLSTM-CRF 50k (Seed 21),50000,21,0.7218566106062189,0.7123320619867367,0.7170627096952716,0.7109385545886248,0.7520688830423343,0.6060749041580655,0.7746718765654744,0.9279103885120558,0.003292982100659203,14,3014.954910583998,1.028,3.5270716252853163,4.522187499787833,62099,0.03365953848012565,24.59935474395752
BiLSTM-CRF 50k (Seed 42),50000,42,0.7401643516835139,0.6994467924268976,0.719229750022083,0.7150360167983738,0.758738449176376,0.6122991561669172,0.7740704450518282,0.9284143668340841,0.005460022427470568,14,2461.724421209001,0.989,4.66028906248539,5.6461132812728465,62099,0.03365953848012565,24.59935474395752
BiLSTM-CRF 50k (3-Seed Aggregate Mean),50000,aggregate,0.7346031170361984,0.6997674924692757,0.7166394556506832,0.7116025993828617,0.7546791864378212,0.6077907612350993,0.7723378504756647,0.9278471035629426,0.002869728056070775,14,2813.006816333664,0.9626333333333333,3.8697621563793896,4.822651479116757,62099,0.03365953848012565,24.59935474395752
BiLSTM-CRF 100k (Seed 42),100000,42,0.7498316378974231,0.7269010067690617,0.7381882894828669,0.733397516403762,0.7811531927650645,0.6352299750594513,0.7838093813867704,0.9335646110564559,0.02441856188825442,9,3949.6758256249886,1.2381,3.600535155783291,4.505156250161235,94405,0.025371511417180137,36.92314624786377
