sample_size,experiment_id,vocab_size,val_unk_rate,best_epoch,train_seconds,peak_rss_gb,model_size_mib,val_precision,val_recall,val_micro_f1,val_macro_f1,per_f1,org_f1,loc_f1,token_accuracy,delta_vs_crf_val_micro_f1
1000,bilstm_crf_001k_seed42_14ca16a6ddf0,5879,0.1714389271475172,14,924.985434999995,0.6837,3.1531267166137695,0.4783923466021553,0.2989726145070955,0.36797699350827856,0.3650037949163914,0.38708380786494273,0.25006505334374185,0.4578625235404896,0.8541673138991008,-0.3457927340863339
10000,bilstm_crf_010k_seed42_6ee37e2676b5,23894,0.06483370441326222,13,1187.0152241670003,0.7872,10.02531909942627,0.7033197743078337,0.5525203587259045,0.6188661817342107,0.6121125547545025,0.6747685185185186,0.4796805564500548,0.6818885892949343,0.9068710195205302,-0.09490354586040173
50000,bilstm_crf_050k_seed21_2e1de81e3085,62099,0.03365953848012565,14,3014.954910583998,1.028,24.59935474395752,0.7218566106062189,0.7123320619867367,0.7170627096952716,0.7109385545886248,0.7520688830423343,0.6060749041580655,0.7746718765654744,0.9279103885120558,0.003292982100659203
50000,bilstm_crf_050k_seed42_1c3a3bd180d5,62099,0.03365953848012565,14,2461.724421209001,0.989,24.59935474395752,0.7401643516835139,0.6994467924268976,0.719229750022083,0.7150360167983738,0.758738449176376,0.6122991561669172,0.7740704450518282,0.9284143668340841,0.005460022427470568
50000,bilstm_crf_050k_seed7_c99f52e0e1fb,62099,0.03365953848012565,14,2962.341117207994,0.8709,24.59935474395752,0.7417883888188626,0.687523622994193,0.7136259072346952,0.7088332267615867,0.7532302270947534,0.6049982233803151,0.7682712298096913,0.927216555342688,-0.00014382035991722386
100000,bilstm_crf_100k_seed42_9af1d47db429,94405,0.025371511417180137,9,3949.6758256249886,1.2381,36.92314624786377,0.7498316378974231,0.7269010067690617,0.7381882894828669,0.733397516403762,0.7811531927650645,0.6352299750594513,0.7838093813867704,0.9335646110564559,0.02441856188825442
